,title,url,author,post,likes,comments,views,abstract
0,Objects.equals有坑,https://www.cnblogs.com/12lisu/p/16036894.html,苏三说技术,2022-03-21 21:59,1,0,14,"
                    前言 最近review别人代码的时候，发现有个同事，在某个业务场景下，使用Objects.equals方法判断两个值相等时，返回了跟预期不一致的结果，引起了我的兴趣。 原本以为判断结果会返回true的，但实际上返回了false。 记得很早之前，我使用Objects.equals方法也踩过类似的坑，所 ...
                "
1,# 数值计算：三角形积分,https://www.cnblogs.com/chetwin/p/16036876.html,陈橙橙,2022-03-21 21:57,0,0,4,"
                    数值计算：三角形积分 书接上回《高斯-勒朗德积分公式》 **需求：**在给定空间三角形$\Delta ABC$中，\(A(x_1,y_1,z_1),B(x_2,y_2,z_2),C(x_3,y_3,z_3)\)，已知函数$f(x,y,z)\(，求利用数值方法求解积分：\)\iint_{\Delta  ...
                "
2,可移植的python环境,https://www.cnblogs.com/gpl2/p/16036658.html,pwolp,2022-03-21 21:23,0,0,29,"
                    创建可移植的python环境 工作时使用的系统不联网，而且自带的python环境库不完整，每次干活都心累，所以想要做一个可移植的精简版的python环境。 开始前的准备： Ubuntu18.04 python源码 virtualenv 这里首先装Linux版本的，Windows版本的之后补上。 py ...
                "
3,python+pytest接口自动化(9)-cookie绕过登录(保持登录状态),https://www.cnblogs.com/lfr0123/p/16036601.html,给你一页白纸,2022-03-21 21:13,0,0,24,"
                    在编写接口自动化测试用例或其他脚本的过程中，经常会遇到需要绕过用户名/密码或验证码登录，去请求接口的情况，一是因为有时验证码会比较复杂，比如有些图形验证码，难以通过接口的方式去处理；再者，每次请求接口前如果都需要先去登录一次，这样不仅效率低，还耗费资源。 有些网站是使用cookie辨别用户身份的，此 ...
                "
4,MySQL CREATE TABLE 简单设计模板交流,https://www.cnblogs.com/life2refuel/p/16036540.html,喜欢兰花山丘,2022-03-21 21:07,0,0,16,"
                    推荐用 MySQL 8.0 (2018/4/19 发布, 开发者说同比 5.7 快 2 倍) 或同类型以上版本. CREATE TABLE TEMPLATE CREATE TABLE [table_name] ( id BIGINT UNSIGNED NOT NULL AUTO_INCREMENT  ...
                "
5,SSM集成Thymeleaf,https://www.cnblogs.com/chixinwang/p/16036294.html,吃心王,2022-03-21 20:09,0,0,37,"
                    创建项目Spring+SpringMVC+MyBatis的配置文件数据库内容dao层+service层+controller层映射文件前端简单页面配置tomcat，运行显示总体项目架构补充 SSM整合Thymeleaf 目前很多后端技术栈采用Spring+SpringMVC+MyBatis的项目,其 ...
                "
6,揭秘.NET Core剪裁器背后的技术,https://www.cnblogs.com/rupeng/p/16036266.html,杨中科,2022-03-21 20:03,0,0,98,"
                    十天前，我发布了对.NET Core程序进行瘦身的开源软件Zack.DotNetTrimmer，与.NET Core内置的剪裁器相比，Zack.DotNetTrimmer不仅对程序的剪裁效果更好，而且还支持WPF、WinForm程序。 很多朋友对于这个开源项目的原理很感兴趣，因此我将通过这篇文章为大 ...
                "
7,关于二维DP————站上巨人的肩膀,https://www.cnblogs.com/zch061023/p/16020960.html,赵呈浩,2022-03-21 19:41,0,0,35,"
                    意匠惨淡经营中ing， 语不惊人死不休........ 前几天学了DP，做了个简单的整理，记录了关于DP的一些概念之类的，今天记录一下刚学的一个类型 ————关于二维DP 那建立二维数组主要是干嘛用的呢？？？其实就是是记录两个状态，（我也不是很清楚），然后再递推 直接上题吧 T1 、最长公共子序列： ...
                "
8,[源码解析] TensorFlow 分布式环境(3)--- Worker 静态逻辑,https://www.cnblogs.com/rossiXYZ/p/16036093.html,罗西的思考,2022-03-21 19:29,0,0,20,"
                    在具体介绍 TensorFlow 分布式的各种 Strategy 之前，我们首先需要看看分布式的基础：分布式环境。只有把基础打扎实了，才能在以后的分析工作之中最大程度的扫清障碍，事半功倍。本篇介绍 Worker（一系列相关概念） 的静态架构。 ...
                "
9,一文搞懂 SLAM 中的Extension Kalman Filter 算法编程,https://www.cnblogs.com/shujufenxianli/p/16036056.html,数据分析案例,2022-03-21 19:14,0,0,16,"
                    ©作者 | Doreen 01 问题描述 预先知道事物未来的状态总是很有价值的！ √ 预知台风的路线可以避免或减轻重大自然灾害的损失。 √ 敌国打过来的导弹，如果能够高精度预测轨迹，就能有效拦截。 √ 操控无人机，需要知道下一刻飞机的方向、速度不断修正，才能精准控制、回避各种风险。 这是一个状态估计 ...
                "
10,通过Geth搭建私有以太坊网络,https://www.cnblogs.com/ifantasy/p/16035994.html,丿风色幻想,2022-03-21 18:50,1,0,46,"
                    为了进一步了解以太坊区块链网络的工作方式和运行原理，笔者通过官方软件Geth搭建了私有以太坊网络fantasynetwork：首先通过VMware Workstation创建基础Ubuntu实验平台，再安装Golang、Geth等依赖环境；其次使用puppeth工具生成私网的配置文件genesis.... ...
                "
11,神经网络中的Heloo，World，基于MINST数据集的LeNet,https://www.cnblogs.com/Truedragon/p/16035934.html,TrueDZ,2022-03-21 18:33,0,0,37,"
                    前言 最近刚开始接触机器学习，记录下目前的一些理解，以及看到的一些好文章mark一下 1.MINST数据集 MNIST 数据集来自美国国家标准与技术研究所, National Institute of Standards and Technology (NIST). 训练集 (training se ...
                "
12,ArcGIs创建企业级数据库,https://www.cnblogs.com/kiba/p/16035784.html,kiba518,2022-03-21 17:55,0,0,60,"
                    本文主要描述ArcGIs创建企业级数据库。 目标：创建企业级地理数据库，使用ArcMap通过SDE引擎 与Oracle交互数据，创建完成后将本地的mdb数据库中数据迁移到Oracle的地理数据库当中。 一，安装Oracle客户端 因为ArcMap也是通过Oracle客户端来连接Oracle的，所以我 ...
                "
13,Java安全第一篇 ｜ 反射看这一篇就够了,https://www.cnblogs.com/lxfweb/p/16035764.html,雪痕*,2022-03-21 17:49,0,0,91,"
                    什么是反射？ Java安全可以从反序列化漏洞说起，反序列化漏洞又可以从反射说起。反射是⼤多数语⾔⾥都必不可少的组成部分，对象可以通过反射获取他的类，类可以通过反射拿到所有⽅法（包括私有），拿到的⽅法可以调⽤，总之通过“反射”，我们可以将Java这种静态语⾔附加上动态特性。可能说完这一两句话大家还是不 ...
                "
14,Flink域名处理,https://www.cnblogs.com/andandan/p/16035639.html,andandan,2022-03-21 17:26,0,0,54,"
                    概述 最近做了一个小任务，要使用Flink处理域名数据，在4GB的域名文档中求出每个域名的顶级域名，最后输出每个顶级域名下的前10个子级域名。一个比较简单的入门级Flink应用，代码很容易写，主要用到的算子有FlatMap、KeyBy、Reduce。但是由于Maven打包问题，总是提示找不到入口类， ...
                "
15,『现学现忘』Docker基础 — 28、Docker容器数据卷介绍,https://www.cnblogs.com/liuyuelinfighting/p/16034219.html,繁华似锦Fighting,2022-03-21 17:10,0,0,78,"
                    1、什么是Docker容器数据卷 Docker容器数据卷，即Docker Volume（卷）。 当Docker容器运行的时候，会产生一系列的数据文件，这些数据文件会在关闭Docker容器时，直接消失的。但是其中产生部分的数据内容，我们是希望能够把它给保存起来，另作它用的。 所以我们期望： 将应用与运 ...
                "
16,VuePress 博客之 SEO 优化（五）添加 JSON-LD 数据,https://www.cnblogs.com/yayujs/p/16035323.html,冴羽,2022-03-21 16:37,0,0,69,"
                    前言 在 《一篇带你用 VuePress + Github Pages 搭建博客》中，我们使用 VuePress 搭建了一个博客，最终的效果查看：TypeScript 中文文档。 本篇讲 SEO 中的 JSON-LD。 JSON-LD 如果我们打开掘金任意一篇文章，比如这篇《VuePress 博客优 ...
                "
17,从源码分析RocketMq消息的存储原理,https://www.cnblogs.com/tera/p/16035291.html,tera,2022-03-21 16:33,0,0,58,"
                    rocketmq在存储消息的时候，最终是通过mmap映射成磁盘文件进行存储的，本文就消息的存储流程作一个整理。源码版本是4.9.2 主要的存储组件有如下4个： CommitLog：存储的业务层，接收“保存消息”的请求 MappedFile：存储的最底层对象，一个MappedFile对象就对应了一个实 ...
                "
18,一篇文章扒掉“桥梁Handler”的底裤,https://www.cnblogs.com/BlueSocks/p/16035178.html,BlueSocks,2022-03-21 16:12,0,0,45,"
                    Android跨进程要掌握的是Binder, 而同一进程中最重要的应该就是Handler 消息通信机制了。我这么说，大家不知道是否认同，如果认同，还希望能给一个关注哈。 什么是Handler？ Handler主要用于异步消息的处理：当发出一个消息之后，首先进入一个消息队列，发送消息的[函数]即刻返回 ...
                "
19,《前端运维》一、Linux基础--06Shell流程控制,https://www.cnblogs.com/zaking/p/14825466.html,Zaking,2022-03-21 16:03,0,0,90,"
                    这章我们来学习下流程控制，简单来说就是逻辑判断和循环的写法。并不复杂，我们来简单地看下。 1、if语句 shell的if语句有两种写法，一种是shell脚本式的，一种是命令式的。 if condition then command1 command2 ... commandN fi 命令式，是这样的 ...
                "
